Fecha,Pronostico,Limite_Inferior,Limite_Superior
2026-01-01,2.7342609e+11,2.4015187e+11,3.078502e+11
2026-02-01,2.6955694e+11,2.2662396e+11,3.0868423e+11
2026-03-01,2.6242071e+11,2.2844015e+11,2.966961e+11
2026-04-01,2.6702291e+11,2.3259757e+11,3.0320522e+11
2026-05-01,2.9242497e+11,2.5404945e+11,3.3499064e+11
2026-06-01,3.981879e+11,3.2009414e+11,4.775637e+11
2026-07-01,2.8136938e+11,2.4544318e+11,3.1972924e+11
2026-08-01,2.8513547e+11,2.4529879e+11,3.3018403e+11
2026-09-01,2.905874e+11,2.4555443e+11,3.3259248e+11
2026-10-01,2.9957898e+11,2.4541384e+11,3.3723538e+11
2026-11-01,3.142838e+11,2.6881316e+11,3.6148983e+11
2026-12-01,3.799231e+11,3.1765424e+11,4.60811e+11
2027-01-01,3.0008738e+11,2.535331e+11,3.5231773e+11
2027-02-01,2.997253e+11,2.5409824e+11,3.5091684e+11
2027-03-01,2.993488e+11,2.5904711e+11,3.449525e+11
2027-04-01,3.0200234e+11,2.551893e+11,3.50189e+11
2027-05-01,3.2036576e+11,2.643597e+11,3.6850624e+11
2027-06-01,3.984196e+11,3.1474195e+11,4.63959e+11
2027-07-01,3.0206512e+11,2.5756008e+11,3.4660303e+11
2027-08-01,3.1099103e+11,2.5900017e+11,3.5713325e+11
2027-09-01,3.140549e+11,2.6051025e+11,3.6066938e+11
2027-10-01,3.214154e+11,2.6446597e+11,3.7304903e+11
2027-11-01,3.409671e+11,2.7356637e+11,4.0171048e+11
2027-12-01,4.0524454e+11,3.2251137e+11,4.8239883e+11
2028-01-01,3.1784963e+11,2.6668055e+11,3.6227875e+11
2028-02-01,3.1648363e+11,2.6699763e+11,3.7566815e+11
2028-03-01,3.185907e+11,2.6282066e+11,3.775562e+11
2028-04-01,3.195346e+11,2.694254e+11,3.680171e+11
2028-05-01,3.3349897e+11,2.798483e+11,3.7924756e+11
2028-06-01,3.9405663e+11,3.0213436e+11,4.7120954e+11
2028-07-01,3.2216177e+11,2.727581e+11,3.7288303e+11
2028-08-01,3.221304e+11,2.6278363e+11,3.7502275e+11
2028-09-01,3.3396428e+11,2.7935333e+11,3.898579e+11
2028-10-01,3.3666e+11,2.811889e+11,3.970471e+11
2028-11-01,3.583105e+11,2.9613857e+11,4.24702e+11
2028-12-01,4.1519422e+11,3.3263783e+11,5.0271165e+11
2029-01-01,3.3136535e+11,2.7255256e+11,3.8620994e+11
2029-02-01,3.3224186e+11,2.8167746e+11,3.8187595e+11
2029-03-01,3.299394e+11,2.7182934e+11,3.9295985e+11
2029-04-01,3.300464e+11,2.6945264e+11,3.8588075e+11
2029-05-01,3.4696862e+11,2.8644753e+11,4.072666e+11
2029-06-01,4.0286932e+11,3.3301506e+11,4.7334815e+11
2029-07-01,3.320594e+11,2.7908732e+11,3.853399e+11
2029-08-01,3.3729823e+11,2.7635234e+11,4.0680558e+11
2029-09-01,3.4253475e+11,2.8561713e+11,3.971074e+11
2029-10-01,3.490329e+11,2.8799595e+11,4.078589e+11
2029-11-01,3.6571637e+11,3.0373288e+11,4.3141022e+11
2029-12-01,4.1844185e+11,3.319741e+11,4.9899317e+11
2030-01-01,3.4761117e+11,2.8133972e+11,4.084484e+11
2030-02-01,3.45114e+11,2.86319e+11,3.969754e+11
2030-03-01,3.4467522e+11,2.8702936e+11,4.0785753e+11
2030-04-01,3.4414048e+11,2.9724515e+11,4.017525e+11
2030-05-01,3.53094e+11,2.8739948e+11,4.1682842e+11
2030-06-01,3.9749888e+11,3.1752703e+11,4.846412e+11
2030-07-01,3.4579923e+11,2.8501482e+11,4.0528694e+11
2030-08-01,3.5057884e+11,2.9243484e+11,4.1168283e+11
2030-09-01,3.5602085e+11,2.923898e+11,4.3159765e+11
2030-10-01,3.641871e+11,2.942082e+11,4.380172e+11
2030-11-01,3.747699e+11,3.0464708e+11,4.4054197e+11
2030-12-01,4.200307e+11,3.4301785e+11,5.014979e+11
