Fecha,Pronóstico,Limite_Inferior,Limite_Superior
2026-01-01,2.9015373e+11,2.4582313e+11,3.3063954e+11
2026-02-01,2.7999565e+11,2.3849892e+11,3.228439e+11
2026-03-01,2.5925014e+11,2.2445849e+11,2.9517562e+11
2026-04-01,2.2163382e+11,2.0050492e+11,2.440078e+11
2026-05-01,2.6689765e+11,2.3149465e+11,3.0297794e+11
2026-06-01,4.271354e+11,3.3041154e+11,5.238712e+11
2026-07-01,2.6997011e+11,2.3388717e+11,3.045257e+11
2026-08-01,2.8000417e+11,2.413652e+11,3.1969375e+11
2026-09-01,2.8628202e+11,2.4783978e+11,3.268261e+11
2026-10-01,2.9307437e+11,2.4326285e+11,3.326236e+11
2026-11-01,3.0056743e+11,2.4725396e+11,3.4514085e+11
2026-12-01,3.7308744e+11,3.1251972e+11,4.428215e+11
