Fecha,Pronóstico,Limite_Inferior,Limite_Superior
2026-01-01,455026781883.6776,421576931990.94165,486923915342.1196
2026-02-01,255468656507.31213,235815224445.82477,276402325990.6717
2026-03-01,363103310826.4233,335441511975.28357,393466411983.35565
2026-04-01,192706057396.78552,176885468904.24414,209115624318.41455
2026-05-01,211020464687.40195,192342216889.4006,230552444262.54605
2026-06-01,239459353914.30927,216861634429.56015,264980853632.89368
2026-07-01,414596368983.1608,371865127083.04486,464180144668.6625
2026-08-01,293884467753.93536,259750933008.47778,333682631905.3458
2026-09-01,270239833816.24298,235016798855.85974,308115476835.73364
2026-10-01,292360253631.4637,248195979789.88782,343449887858.8877
2026-11-01,292957340170.1135,245365701912.50262,348872241322.7291
2026-12-01,284958550869.41956,231419607458.13815,345932055165.7614
