Fecha,Pronostico,Limite_Inferior,Limite_Superior
2026-01-01,500824066499.87195,385986649530.6368,649827515771.437
2026-02-01,290832222781.39325,224145289237.3511,377359622839.89557
2026-03-01,311043403635.5685,239722108519.7117,403583964543.7735
2026-04-01,188585165630.74246,145343167578.53207,244692373838.2508
2026-05-01,201046864657.4298,154947437367.13373,260861634599.3389
2026-06-01,253715226586.70724,195539105999.69766,329199705976.08453
2026-07-01,446469177863.3501,344095169482.165,579301148231.5422
2026-08-01,286008401571.36523,220427555333.68814,371100635061.5101
2026-09-01,285485488276.2177,220024544439.4291,370422146419.7953
2026-10-01,332394846417.41315,256177731119.8627,431287815072.176
2026-11-01,290783545216.19354,224107773211.6808,377296463021.8865
2026-12-01,255956338036.23965,197266337446.60837,332107585252.0256
