Entidad,Recaudo_Total,Recaudo_Anual_Medio,CV_Interanual,Tendencia_Pct,N_Anios,Tipologia,R_Lag12,R_Lag1,IEP,ERS,Semaforo
ABEJORRAL,1030364096.0,206072819.2,57.361351942459706,167.31440824584016,5,Dependientes,0.24353962623814707,-0.12396841583837312,2.037166945642796,38.284583858334756,VERDE
ABRIAQUI,127235940.0,25447188.0,60.28239135278615,76.95267351347425,5,Criticos,0.55522138785723,-0.16062870765546697,0.0846745961585238,43.440117359927214,ROJO
ACALDIA MUNICIPAL,1389331077.0,277866215.4,52.941716559007354,99.84920156651762,5,Criticos,0.4766923540027452,-0.16052138216042963,0.708664804871491,40.17935721363512,NARANJA
ACANDI,570590220.0,114118044.0,55.95397652854117,141.04596684114213,5,Dependientes,0.32833823337739704,-0.13830219876746516,2.0627871319476165,37.30794196642053,VERDE
ACHI,912319306.0,182463861.2,51.273567201651424,123.91544550960103,5,Dependientes,0.3436934782162342,-0.14220431331124062,0.8830370020790321,41.128961872010734,ROJO
AGUA DE DIOS,460388622.0,92077724.4,51.16567661032698,135.0971288773509,5,Dependientes,0.3038796335418992,-0.1287714498023433,1.2509204628447343,40.12900638703426,NARANJA
AGUACHICA,4708016236.0,941603247.2,51.99151922195401,103.90265628429749,5,Consolidados,0.4552465285700153,-0.1634586731125143,0.6196149136892664,40.587428031961565,ROJO
AGUADA,204391544.0,40878308.8,64.61772068232762,186.4030673891284,5,Dependientes,0.24152654046414937,-0.12433795560616169,4.012146018233576,31.73732504712178,VERDE
AGUAZUL,1415498970.0,283099794.0,50.03616344971107,100.20296500109782,5,Criticos,0.4303917353193174,-0.15363990486150575,0.8959990256229566,40.029514467470676,NARANJA
AGUSTIN CODAZZI,2352726596.0,470545319.2,51.84536992269475,100.54828295909655,5,Consolidados,0.4650477292080448,-0.15436180144937078,0.7539864450723648,40.028502462319835,NARANJA
ALBAN,110818555.0,22163711.0,53.8484242207733,89.65590644996229,5,Criticos,0.5197644388602095,-0.16112466795864724,0.293770034255074,41.38173098185479,ROJO
ALBAN SAN JOSE,391529682.0,78305936.4,54.48458810111306,142.40131033028553,5,Dependientes,0.30010663310837504,-0.13600942785872555,1.7144849953695003,38.86619955802993,AMARILLO
ALBANIA,127372280.0,25474456.0,55.709037409053195,97.56499412588046,5,Criticos,0.5189165329320048,-0.15491095435708002,1.0197660384082106,38.741824846384866,AMARILLO
ALCALA,915760616.0,183152123.2,55.54405265492052,163.5695722581719,5,Dependientes,0.19865719000854237,-0.10884722940493516,1.6195848833428812,40.75493019862275,ROJO
ALCALDIA CHIVATA,67251906.0,13450381.2,51.19172988999229,105.3309031865952,5,Criticos,0.4735867525865967,-0.15495874714872668,0.7901777961970534,39.23837024076496,AMARILLO
ALCALDIA DE BUCARAMANGA,32901316950.0,6580263390.0,50.906766685769355,108.90405281330236,5,Consolidados,0.44443471106177673,-0.14810601842176235,1.0285378847237865,38.85451724686784,AMARILLO
ALCALDIA DE GIRON,7293828667.37,1458765733.474,49.242647981680335,122.22919088240151,5,Consolidados,0.6312668285878213,-0.19563240950878302,1.2069748394552198,32.21011011144408,VERDE
ALCALDIA DE LETICIA,4998266680.0,999653336.0,46.69082373009405,99.13502124300419,5,Consolidados,0.42616666498648914,-0.1304972396814585,0.3793724358583528,41.298410324809595,ROJO
ALCALDIA DE MALAGA,1155408127.0,231081625.4,53.71609661811064,106.37177991738326,5,Dependientes,0.4627816179838407,-0.1128987096930412,0.8022347604140437,39.9762148152936,NARANJA
ALCALDIA DE MATANZA,135300780.0,27060156.0,51.58746710812151,105.76218961930597,5,Criticos,0.4423825552596102,-0.1542604733749652,0.8021767640059064,40.06183536312482,NARANJA
ALCALDIA DE MONTERIA PENSIONADOS DOCENTES,21102270040.0,4220454008.0,52.22297601226404,102.40222254069874,5,Consolidados,0.4910179338365151,-0.1590807903394361,0.9669770808248385,38.56936083699276,VERDE
ALCALDIA DE OICATA,53186256.0,10637251.2,50.95906586748682,101.91899012406516,5,Criticos,0.46826326684472674,-0.1552189983145902,0.629772715420641,40.106058283266165,NARANJA
ALCALDIA DE ORITO,1744940581.0,348988116.2,49.79900445814091,93.60508806345425,5,Criticos,0.4776846469752917,-0.15996102372089613,0.37794495998060496,41.01370943947962,ROJO
ALCALDIA DE PAMPLONA,3392573377.32,678514675.464,49.16516370797071,100.03017533642289,5,Consolidados,0.4516994252091006,-0.1449773432134573,0.7706959391003978,39.7431527103612,NARANJA
ALCALDIA DE REMOLINO,245114105.0,49022821.0,52.073863572797585,94.25213208354533,5,Criticos,0.4976605607060734,-0.15735956231605241,0.635787532455663,40.0488457168623,NARANJA
ALCALDIA DE SOATA,358726890.0,71745378.0,51.7002318797396,90.49067523206861,5,Criticos,0.46440082705980457,-0.16022201140633774,0.43837429726500066,41.7584001115133,ROJO
ALCALDIA DEL MUNICIPIO DE,2506599930.0,501319986.0,51.177861513102684,97.08552293783875,5,Consolidados,0.4723612486642262,-0.15192914491590262,0.7715764901557521,39.84041799792739,NARANJA
ALCALDIA DISTRITAL DE CARTAGENA,59132383348.96999,11826476669.793999,51.86770716637278,115.39000911277073,5,Consolidados,0.6748935741392889,-0.15281601006373938,1.0170299994162337,32.774125468207224,VERDE
ALCALDIA DISTRITAL DE SANTA MARTA,22536784906.0,4507356981.2,50.215134866695706,107.22271637586884,5,Consolidados,0.4619272872722108,-0.15334349576905887,1.0127853752709974,38.40824668496801,VERDE
ALCALDIA MAYOR DE TUNJA,15654263133.470001,3130852626.6940002,47.38739842816197,111.2556396890553,5,Consolidados,0.6908567404285423,-0.2424453982880222,0.5621616142723873,33.23616823572317,VERDE
ALCALDIA MPAL DE CUNDAY,240190720.0,48038144.0,52.30978812315617,98.78945156582236,5,Criticos,0.4658467428014784,-0.1572314045690035,0.6433581784622683,40.6154194106139,ROJO
ALCALDIA MUCIPIO DE MACARAVITA,77645193.0,15529038.6,54.10189661857461,66.52275305697289,5,Criticos,0.5539542870266799,-0.1493710513082144,0.007573952406900675,43.0026300725892,ROJO
ALCALDIA MUNICIPAL,1275936483.0,255187296.6,54.73721930764069,130.0349546866903,5,Dependientes,0.4646873276690235,-0.13991291683353504,1.5800140655197936,35.92303183247654,VERDE
ALCALDIA MUNICIPAL DE ALTAMIRA,94913704.0,18982740.8,54.093010492548466,103.66252011406065,5,Criticos,0.4717560691744125,-0.15686600766744643,1.024431441431246,39.20263614813267,AMARILLO
ALCALDIA MUNICIPAL DE BARANOA,1850764855.0,370152971.0,51.96750928970434,122.84347921659666,5,Dependientes,0.3531562883677518,-0.13851120324683272,1.2302185133204064,39.866866770423044,NARANJA
ALCALDIA MUNICIPAL DE BELEN DE LOS ANDAQUIES,327820232.0,65564046.4,52.91845569640361,101.87522989734204,5,Criticos,0.4745097083475209,-0.15686839312254308,0.8747271784671129,39.51268206488096,NARANJA
ALCALDIA MUNICIPAL DE BUENAVISTA SUCRE,369614172.0,73922834.4,51.72027027141205,112.47635412637803,5,Dependientes,0.41031110105333596,-0.15062654205320342,0.8728557901977418,40.252626834039326,ROJO
ALCALDIA MUNICIPAL DE CAMPOALEGRE,1627934472.0,325586894.4,50.047274957872986,90.94336445748536,5,Criticos,0.4903863581844218,-0.14903308159882092,0.3578647407140744,40.97757186039622,ROJO
ALCALDIA MUNICIPAL DE CHIQUIZA,139710151.0,27942030.2,51.518298072403944,94.29970482245058,5,Criticos,0.4918990798812686,-0.156423744969659,0.5918823796453971,40.2265007557286,ROJO
ALCALDIA MUNICIPAL DE CHOACHI,387723544.0,77544708.8,51.94225399056632,96.01121359810949,5,Criticos,0.4717191239453307,-0.15167369135704792,1.068769233863298,39.03318146831633,AMARILLO
ALCALDIA MUNICIPAL DE FLORIDABLANCA,10284175931.0,2056835186.2,50.34468256329486,113.87794261373764,5,Consolidados,0.4551641508175613,-0.15002068431912605,1.1445718647427552,37.731574833839936,VERDE
ALCALDIA MUNICIPAL DE GACHANTIVA,82492036.0,16498407.2,52.243060569813515,97.30835107524804,5,Criticos,0.4935385905538316,-0.1565459994871402,0.695431241338297,39.79203445354808,NARANJA
ALCALDIA MUNICIPAL DE IBAGUE,22913664959.0,4582732991.8,51.59111354871544,113.49715578688016,5,Consolidados,0.4604975113226634,-0.15909721125173407,1.0939868460145812,38.07795324248787,VERDE
ALCALDIA MUNICIPAL DE JUNIN,161122812.0,32224562.4,52.62095460310601,86.9126945847991,5,Criticos,0.5111709800150159,-0.15809440755166945,0.46912452143822825,40.87015330425975,ROJO
ALCALDIA MUNICIPAL DE L PEZ DE MICAY,558503860.0,111700772.0,55.17892203159981,110.85962861563752,5,Dependientes,0.4744193976237975,-0.1567231872725618,1.1454913794917332,38.50267763243451,VERDE
ALCALDIA MUNICIPAL DE LA CALERA,975410278.0,195082055.6,49.472020032223575,93.72277190624393,5,Criticos,0.4941998922789301,-0.15435348451493885,0.6447812803369445,39.554556527034705,NARANJA
ALCALDIA MUNICIPAL DE MANI,540630274.0,108126054.8,52.819330479851345,87.66248817209225,5,Criticos,0.4790471055952198,-0.1592125280173619,0.4512207411853093,41.76022942980778,ROJO
ALCALDIA MUNICIPAL DE MARIALABAJA,1773332602.0,354666520.4,54.06579875266093,89.44339139827082,5,Criticos,0.5238489117806252,-0.16232829216661177,0.6446946179576046,40.085038482077266,NARANJA
ALCALDIA MUNICIPAL DE MONTELIBANO,3113459911.0,622691982.2,50.75522076271668,109.90742599286996,5,Consolidados,0.4354406300667843,-0.14823677643094413,1.070399357565467,38.841037481794814,AMARILLO
ALCALDIA MUNICIPAL DE PALMAR DE VARELA,825498066.0,165099613.2,57.050961671486675,113.0563121149699,5,Dependientes,0.4320157159905202,-0.1545355619554784,1.727919786017555,37.80019416011413,VERDE
ALCALDIA MUNICIPAL DE PINILLOS BOLIVAR,816455042.0,163291008.4,51.966786697049386,101.93155742677133,5,Criticos,0.4726050952570087,-0.155033658800826,0.8370068920078102,39.479437796200195,AMARILLO
ALCALDIA MUNICIPAL DE PIOJO,153385415.0,30677083.0,52.68050657078993,101.87815445164719,5,Criticos,0.47806034309785556,-0.1565661972883957,0.9216698901184371,39.19996088155099,AMARILLO
ALCALDIA MUNICIPAL DE PUERTO GAITAN,2279292983.0,455858596.6,52.17766329542325,113.98635506175292,5,Dependientes,0.43861810634543275,-0.13635178897167968,1.26154022781297,38.14485547082022,VERDE
ALCALDIA MUNICIPAL DE RIOVIEJO,308161999.0,61632399.8,52.145244175696725,110.56265733790234,5,Dependientes,0.4349613029343502,-0.15199026961732742,1.0358119075974448,39.24855882413124,AMARILLO
ALCALDIA MUNICIPAL DE ROLDANILLO,1234279421.0,246855884.2,53.90849858538495,110.09674040413253,5,Dependientes,0.49328073758819296,-0.13392899526348864,1.2609696287241643,37.36607503772367,VERDE
ALCALDIA MUNICIPAL DE SAN,4164000979.0,832800195.8,47.68904811792694,104.56869917801237,5,Consolidados,0.4422957565873158,-0.10518891725208794,0.7634982214474306,39.400744913361024,AMARILLO
ALCALDIA MUNICIPAL DE SAN ESTANISLAO,644484135.0,128896827.0,52.27691636817141,104.52986402838296,5,Criticos,0.4438829595346714,-0.157875057405548,0.7443007490250497,40.460395774586246,ROJO
ALCALDIA MUNICIPAL DE SASAIMA,227193973.0,45438794.6,53.91124151668246,97.00349753556185,5,Criticos,0.4876348405272598,-0.16084563424354845,0.7854689227676819,40.01571201130096,NARANJA
ALCALDIA MUNICIPAL DE SOACHA,13293577763.0,2658715552.6,53.51664731892094,113.18173433623897,5,Consolidados,0.45562410928722924,-0.15114127921489928,1.3447891442176312,37.75932701374459,VERDE
ALCALDIA MUNICIPAL DE SOLEDAD,16178933472.3,3235786694.46,53.596610721226135,115.65959190411226,5,Consolidados,0.4298302505535233,-0.15453725477237043,1.3283861361703213,38.34807634402583,VERDE
ALCALDIA MUNICIPAL DE SOPO,325045982.0,65009196.4,60.94894387599231,118.644517654736,5,Dependientes,0.47210240575353235,-0.15773256025877846,1.9525572791043362,36.496068081628486,VERDE
ALCALDIA MUNICIPAL DE SUCRE SATANDER,188347311.0,37669462.2,51.28707834782189,97.93053934282077,5,Criticos,0.46941537610598594,-0.15494368591629554,0.6491303840835855,40.32616717206443,ROJO
ALCALDIA MUNICIPAL DE ZIPACON,91304373.0,18260874.6,52.43431228651423,89.98848554603185,5,Criticos,0.45837416654960533,-0.16000552567532816,0.18921467124367877,42.99917287460524,ROJO
ALCALDIA MUNICIPAL LA CUMBRE,334260325.0,66852065.0,53.0273173036336,108.65806538661147,5,Criticos,0.4625023631411501,-0.15630077956007402,1.043613118153218,38.82614799427637,AMARILLO
ALCALDIA MUNICIPAL LA GLORIA CESAR,435779203.0,87155840.6,52.68747577984383,99.82721628411444,5,Criticos,0.47867876017605276,-0.15636917522188534,0.8044671279238006,39.73031874356365,NARANJA
ALCALDIA MUNICIPAL LA LLANADA,189503199.0,37900639.8,51.753289954469636,117.85225456800868,5,Dependientes,0.39407223507160466,-0.14809988319679848,0.9050539634676793,40.23281278102488,ROJO
ALCALDIA MUNICIPAL PALMAS DEL,83049161.0,16609832.2,52.164172026734555,107.98103065725131,5,Criticos,0.4181340607772909,-0.15446827147412434,0.7769709632025937,40.76961274818245,ROJO
ALCALDIA MUNICIPAL RIOHACHA,12408082150.0,2481616430.0,49.21733833703053,105.16448704363228,5,Consolidados,0.4371063089746443,-0.1548732974363378,0.9631260255727757,39.12783407653563,AMARILLO
ALCALDIA MUNICIPAL SAN MARTIN,1015193199.0,203038639.8,50.96071372191232,120.93633002165139,5,Dependientes,0.45222248642618174,-0.11275844432978065,1.2188603231585373,37.246163646108705,VERDE
ALCALDIA MUNICIPAL VILLANUEVA BOLIVAR,668713157.0,133742631.4,52.6742131596873,101.90138594805605,5,Criticos,0.4742166320617509,-0.15594548818298862,0.9133091833839149,39.32601981821194,AMARILLO
ALCALDIA MUNICIPIO DE CUCUTA,42351900075.619995,8470380015.123999,61.92518938892151,128.5991536776469,5,Consolidados,0.6124295689559455,-0.1451294407721418,3.0446528889945403,28.58673614563267,VERDE
ALCALDIA MUNICIPIO DE PLATO,2212864225.0,442572845.0,51.27198179355496,95.11860030635184,5,Consolidados,0.48084689013145787,-0.15569823203214087,0.5675770521048297,40.492440654102595,ROJO
ALCALDIA MUNICIPIO DE TIBACUY,110415167.0,22083033.4,53.960208321621614,88.54893775598782,5,Criticos,0.5143196676608032,-0.160663109128455,0.5265610603091888,40.78380205890533,ROJO
ALCALDIA PIJINO DEL CARMEN,376112445.0,75222489.0,52.69371438376893,98.08110377735572,5,Criticos,0.5004837688811468,-0.15748199918867312,0.7403596461863693,39.506224891627014,NARANJA
ALCALDIA VALLE DE SAN JUAN,183420177.0,36684035.4,54.51215057826131,110.41537840190831,5,Criticos,0.4954481905325194,-0.14024448914238874,1.1962851073996352,37.65711410799579,VERDE
ALDANA,256759141.0,51351828.2,51.94276109922943,99.7047092473331,5,Criticos,0.4811585440952319,-0.1562498088857662,0.7300609163522137,39.77256704133659,NARANJA
ALGECIRAS,876592965.0,175318593.0,51.95815123506116,128.45256349963978,5,Dependientes,0.4758600751189195,-0.14457454165860253,1.222411799403349,36.38595296455307,VERDE
ALMAGUER,616397705.0,123279541.0,51.600095155671156,126.32861238508342,5,Dependientes,0.33720826773198576,-0.138251250912094,1.035332601521614,40.677004439744564,ROJO
ALMEIDA,95187636.0,19037527.2,59.35125331299066,174.75781991266177,5,Dependientes,0.14725364570899455,-0.11141065614152228,2.986559725213374,37.36363241188792,VERDE
ALPUJARRA,193637434.0,38727486.8,53.159202287387444,120.34074852489525,5,Dependientes,0.35987114942511567,-0.1511808010196356,1.0150026443280218,40.88384596359089,ROJO
ALTO BAUDOPIE DE PATO,728159747.0,145631949.4,52.873862506177375,87.65036348541798,5,Criticos,0.5122301894028806,-0.15509826663212284,0.4584273669213187,40.89244992806642,ROJO
ALTOS DEL ROSARIO,387116494.0,77423298.8,52.38569289125714,102.80773776588295,5,Criticos,0.4783860632177491,-0.1553654610499951,0.8844312550854116,39.20122594168481,AMARILLO
ALVARADO,360544826.0,72108965.2,54.25370157574261,82.28601649660061,5,Criticos,0.5401566152327779,-0.14502171351440993,0.38892224284884264,41.06071025612844,ROJO
AMAGA,1168736887.0,233747377.4,49.30462229029909,111.79773305127148,5,Dependientes,0.46841516085854673,-0.15601569601966198,0.8534698063042869,38.3243276796566,VERDE
AMALFI,1137754723.0,227550944.6,51.48245216860269,102.39539387963497,5,Criticos,0.5113031483418629,-0.1456453344722689,0.5945080261605694,39.211153975388996,AMARILLO
AMBALEMA,170001099.0,34000219.8,57.09109309190931,103.44898711507741,5,Criticos,0.435508735399049,-0.14918098357216772,1.5256729701667793,39.03242476946799,AMARILLO
ANAPOIMA,420143985.0,84028797.0,54.649956018617615,115.52993671919403,5,Dependientes,0.4395150154061981,-0.16557466293803336,1.2435888469370946,38.64574107606813,AMARILLO
